GEOID,NAME,median_income,median_age,percent_bipoc,White,Black,Native,Asian,HIPI,Hispanic
8069002010,"Census Tract 20.10, Larimer County, Colorado",110227,56.5,9.404517454,88.91170431,0.780287474,0.205338809,0.041067762,0,8.377823409
8069002011,"Census Tract 20.11, Larimer County, Colorado",89684,45.4,4.451094071,94.12754816,0,0.430147746,0.561062278,0,3.459884047
8069002300,"Census Tract 23, Larimer County, Colorado",89000,43,6.192863462,89.73754055,0.029489826,0,2.477145385,0,3.686228251
8069002401,"Census Tract 24.01, Larimer County, Colorado",73419,62.3,5.165562914,93.97350993,0,0,0,0,5.165562914
8069002403,"Census Tract 24.03, Larimer County, Colorado",83438,55.2,1.642710472,98.35728953,0,0,0,0.684462697,0.958247775
8069002404,"Census Tract 24.04, Larimer County, Colorado",119167,49.2,11.76470588,82.66583229,0,0,0,0,11.76470588
8069002503,"Census Tract 25.03, Larimer County, Colorado",84808,51.6,15.18755718,83.25709058,1.235132662,0,0,0,13.95242452
8069002504,"Census Tract 25.04, Larimer County, Colorado",91071,40.4,21.83198861,76.55434267,0,0.284765069,0.854295206,0,20.69292833
8069002505,"Census Tract 25.05, Larimer County, Colorado",156511,38.4,3.325242718,93.16747573,0,0.230582524,0.133495146,0,2.961165049
8069002506,"Census Tract 25.06, Larimer County, Colorado",109258,45.9,9.726748559,85.8109802,1.428929556,0.275758335,1.930308348,0,6.091752319
8069002507,"Census Tract 25.07, Larimer County, Colorado",99531,35.8,6.68355417,92.08885425,1.987529228,0,0,0,4.696024942
8069002508,"Census Tract 25.08, Larimer County, Colorado",95115,35,12.90883786,85.6065878,0.429134772,0,0.579911853,0,11.89979123
8069002601,"Census Tract 26.01, Larimer County, Colorado",118083,49.6,2.30134607,94.44203213,0,1.432913591,0,0,0.868432479
8069002602,"Census Tract 26.02, Larimer County, Colorado",111071,44,10.30421982,86.81714099,0,0,0,0.065423618,10.23879621
8069002700,"Census Tract 27, Larimer County, Colorado",91677,44.7,12.68599282,86.865059,0,0.218060544,1.167265264,0.833760903,10.46690611
8069002801,"Census Tract 28.01, Larimer County, Colorado",75481,61.8,9.543446244,89.66126657,2.503681885,1.237113402,0,0,5.802650957
8069002803,"Census Tract 28.03, Larimer County, Colorado",74034,89,55.55555556,44.44444444,0,0,0,0,55.55555556
8069002804,"Census Tract 28.04, Larimer County, Colorado",85929,53,5.183016105,83.39677892,0.439238653,0.029282577,0.93704246,0,3.777452416
8069002805,"Census Tract 28.05, Larimer County, Colorado",63438,51.3,14.55269608,85.44730392,0,0,0,0,14.55269608
